trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
106,False,"{'a': 0.5, 'e': 0.46999999999999953}",20,0,-96.03222263251212,"{0: 13, 1: 3, 2: 2, 3: 0, 4: 2}",0
107,False,"{'a': 0.5, 'e': 0.4649999999999995}",30,13,-67.372968290009,"{0: 11, 1: 3, 2: 1, 3: 1, 4: 1}",1
108,False,"{'a': 0.5, 'e': 0.4599999999999995}",30,0,-84.0969399335963,"{0: 23, 1: 3, 2: 2, 3: 0, 4: 2}",0
109,False,"{'a': 0.5, 'e': 0.4549999999999995}",20,0,-47.05303991043351,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 1}",0
110,False,"{'a': 0.5, 'e': 0.4499999999999995}",35,26,19.68974830825305,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
111,False,"{'a': 0.5, 'e': 0.4449999999999995}",20,16,7.38412996651725,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
112,False,"{'a': 0.5, 'e': 0.4399999999999995}",30,13,-31.432081573523412,"{0: 12, 1: 1, 2: 3, 3: 1, 4: 0}",1
113,False,"{'a': 0.5, 'e': 0.4349999999999995}",20,6,-45.698659156751994,"{0: 10, 1: 2, 2: 1, 3: 0, 4: 1}",1
114,False,"{'a': 0.5, 'e': 0.4299999999999995}",20,0,11.444811935176501,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
115,False,"{'a': 0.5, 'e': 0.4249999999999995}",30,1,1.3092068462371507,"{0: 25, 1: 1, 2: 3, 3: 0, 4: 0}",1
116,False,"{'a': 0.5, 'e': 0.4199999999999995}",20,3,-74.52484286818782,"{0: 10, 1: 4, 2: 1, 3: 1, 4: 1}",1
117,False,"{'a': 0.5, 'e': 0.4149999999999995}",25,9,-9.201068135559812,"{0: 13, 1: 0, 2: 3, 3: 0, 4: 0}",1
118,False,"{'a': 0.5, 'e': 0.4099999999999995}",20,10,-59.81075704461897,"{0: 6, 1: 0, 2: 3, 3: 0, 4: 1}",1
119,False,"{'a': 0.5, 'e': 0.40499999999999947}",25,15,7.798651147853164,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
120,False,"{'a': 0.5, 'e': 0.39999999999999947}",30,8,-48.73111812437698,"{0: 17, 1: 0, 2: 3, 3: 2, 4: 0}",1
121,False,"{'a': 0.5, 'e': 0.39499999999999946}",25,18,2.6520157637438975,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
122,False,"{'a': 0.5, 'e': 0.38999999999999946}",25,0,-0.8623105601575596,"{0: 21, 1: 2, 2: 2, 3: 0, 4: 0}",0
123,False,"{'a': 0.5, 'e': 0.38499999999999945}",25,1,-38.74029174324343,"{0: 20, 1: 1, 2: 2, 3: 0, 4: 1}",1
124,False,"{'a': 0.5, 'e': 0.37999999999999945}",25,2,-14.370340806209938,"{0: 18, 1: 2, 2: 3, 3: 0, 4: 0}",1
125,False,"{'a': 0.5, 'e': 0.37499999999999944}",20,6,23.668328202612333,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
126,False,"{'a': 0.5, 'e': 0.36999999999999944}",35,16,-11.294280013492987,"{0: 15, 1: 2, 2: 1, 3: 1, 4: 0}",1
127,False,"{'a': 0.5, 'e': 0.36499999999999944}",25,20,10.078256907227132,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
128,False,"{'a': 0.5, 'e': 0.35999999999999943}",25,0,-35.25012697521168,"{0: 21, 1: 1, 2: 2, 3: 0, 4: 1}",0
129,False,"{'a': 0.5, 'e': 0.3549999999999994}",20,7,-29.697689257984948,"{0: 8, 1: 2, 2: 3, 3: 0, 4: 0}",1
130,False,"{'a': 0.5, 'e': 0.3499999999999994}",25,5,9.747696534450723,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",1
131,False,"{'a': 0.5, 'e': 0.3449999999999994}",25,13,-92.47479056583727,"{0: 7, 1: 1, 2: 2, 3: 0, 4: 2}",1
132,False,"{'a': 0.5, 'e': 0.3399999999999994}",25,11,21.367037347805798,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
133,False,"{'a': 0.5, 'e': 0.3349999999999994}",20,0,11.955639159029143,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
134,False,"{'a': 0.5, 'e': 0.3299999999999994}",20,0,13.377209028389096,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
135,False,"{'a': 0.5, 'e': 0.3249999999999994}",20,5,-8.459460466858816,"{0: 12, 1: 1, 2: 2, 3: 0, 4: 0}",1
136,False,"{'a': 0.5, 'e': 0.3199999999999994}",20,12,15.805815805621853,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
137,False,"{'a': 0.5, 'e': 0.3149999999999994}",20,13,4.83500320868687,"{0: 6, 1: 1, 2: 0, 3: 0, 4: 0}",1
138,False,"{'a': 0.5, 'e': 0.3099999999999994}",20,7,-2.7208644367816524,"{0: 10, 1: 1, 2: 2, 3: 0, 4: 0}",1
139,False,"{'a': 0.5, 'e': 0.3049999999999994}",20,14,1.462571602066149,"{0: 5, 1: 0, 2: 1, 3: 0, 4: 0}",1
140,False,"{'a': 0.5, 'e': 0.2999999999999994}",25,13,-62.82076995329109,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 2}",1
141,False,"{'a': 0.5, 'e': 0.2949999999999994}",25,10,11.328571087807777,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 0}",1
142,False,"{'a': 0.5, 'e': 0.28999999999999937}",25,17,16.24040476209853,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
143,False,"{'a': 0.5, 'e': 0.28499999999999936}",20,0,15.178243654506677,"{0: 18, 1: 2, 2: 0, 3: 0, 4: 0}",0
144,False,"{'a': 0.5, 'e': 0.27999999999999936}",20,5,19.495353081901683,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
145,False,"{'a': 0.5, 'e': 0.27499999999999936}",35,19,14.539107617157725,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 0}",1
146,False,"{'a': 0.5, 'e': 0.26999999999999935}",25,18,-10.683190903843036,"{0: 6, 1: 0, 2: 0, 3: 1, 4: 0}",1
147,False,"{'a': 0.5, 'e': 0.26499999999999935}",20,13,11.760118156701738,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
148,False,"{'a': 0.5, 'e': 0.25999999999999934}",20,13,14.564605159824708,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
149,False,"{'a': 0.5, 'e': 0.25499999999999934}",25,8,13.385774823467042,"{0: 15, 1: 1, 2: 1, 3: 0, 4: 0}",1
150,False,"{'a': 0.5, 'e': 0.24999999999999933}",25,4,23.88730405638133,"{0: 20, 1: 0, 2: 1, 3: 0, 4: 0}",1
151,False,"{'a': 0.5, 'e': 0.24499999999999933}",25,13,8.521370414607754,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
152,False,"{'a': 0.5, 'e': 0.23999999999999932}",20,8,-18.60863803067871,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 1}",1
153,False,"{'a': 0.5, 'e': 0.23499999999999932}",20,14,12.686357922346538,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
154,False,"{'a': 0.5, 'e': 0.22999999999999932}",25,14,12.955004502849254,"{0: 10, 1: 1, 2: 0, 3: 0, 4: 0}",1
155,False,"{'a': 0.5, 'e': 0.2249999999999993}",20,2,-3.649130200946421,"{0: 16, 1: 0, 2: 1, 3: 1, 4: 0}",1
156,False,"{'a': 0.5, 'e': 0.2199999999999993}",20,3,18.359126149806336,"{0: 16, 1: 1, 2: 0, 3: 0, 4: 0}",1
157,False,"{'a': 0.5, 'e': 0.2149999999999993}",25,0,24.755387246070757,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
158,False,"{'a': 0.5, 'e': 0.2099999999999993}",20,12,16.05054446471442,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
159,False,"{'a': 0.5, 'e': 0.2049999999999993}",30,3,-25.540419504266797,"{0: 24, 1: 0, 2: 2, 3: 0, 4: 1}",1
